DIA,Estado / O.R.,NACIONALIDAD,ESTANCIA DIF,TOTAL DE CANALIZADOS,ADULTOS,MENORES
01/10/2024,CHIAPAS,CHILE,OTRO LUGAR,4,4,4
01/10/2024,CHIAPAS,COLOMBIA,OTRO LUGAR,2,2,2
01/10/2024,CHIAPAS,COLOMBIA,OTRO,2,2,2
01/10/2024,CHIAPAS,COLOMBIA,"CENTRO DE ASISTENCIA SOCIAL PARA NIÑAS, NIÑOS Y  FAMILIAS MIGRANTES (DIF BERRIOZABAL, CHIAPAS)",1,1,1
01/10/2024,CHIAPAS,ECUADOR,OTRO,8,8,8
01/10/2024,CHIAPAS,ECUADOR,OTRO LUGAR,3,3,3
01/10/2024,CHIAPAS,FRANCIA,"CENTRO DE ASISTENCIA SOCIAL PARA NIÑAS, NIÑOS Y  FAMILIAS MIGRANTES (DIF BERRIOZABAL, CHIAPAS)",5,5,5
01/10/2024,CHIAPAS,GUATEMALA,OTRO,3,2,3
01/10/2024,CHIAPAS,GUINEA ECUATORIAL,"REFUGIO TEMPORAL PARA NIÑAS Y NIÑOS DE TUXTLA GUTIERREZ Y NIÑOS MIGRANTES (DIF DEMOCRÁTICA, CHIAPAS)",1,0,1
01/10/2024,CHIAPAS,HONDURAS,OTRO,2,2,2
01/10/2024,CHIAPAS,NICARAGUA,"CENTRO DE ASISTENCIA SOCIAL PARA NIÑAS, NIÑOS Y  FAMILIAS MIGRANTES (DIF BERRIOZABAL, CHIAPAS)",3,3,3
01/10/2024,CHIAPAS,PERÚ,OTRO,9,9,9
01/10/2024,CHIAPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,OTRO,3,3,3
01/10/2024,CHIAPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,OTRO LUGAR,45,45,45
01/10/2024,CHIAPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,"CENTRO DE ASISTENCIA SOCIAL PARA NIÑAS, NIÑOS Y  FAMILIAS MIGRANTES (DIF BERRIOZABAL, CHIAPAS)",2,2,2
