Año,DIA,Estado de Partida,Lugar de Partida,Nombre de la Caravana,Estado de Disolución,Lugar de Disolución,Personas que Aproximadamente Incian la movilización,Personas Rescatadas,Personas Documentadas,Personas Trasladadas a Oficinas distintas al origen,Tipo de Documento o Procedimiento,TVRH,PAM,FMM,CITA COMAR,Documentos Provisionales y Oficios de Salida,Honduras, El Salvador, Guatemala, Nicaragua, Haití, República Bolivariana de Venezuela,Cuba, República Dominicana, República Federal Democrática de Nepal, Ecuador, Colombia, Estado Plurinacional de Bolivia , Senegal, Perú , Chile , Brasil, Pakistán, Ghana , Costa Rica , Nigeria , Camerún ,Etiopia,Bangladesh, India 
2018,18/10/2018,Chiapas,"Puente Internacional Rodolfo Robles
Ciudad Hidalgo, Chiapas",,,,,760,,,,,,,,,SI,SI,,,,,,,,,,,,,,,,,,,,,,
2019,15/01/2019,Chiapas,"Puente Internacional Rodolfo Robles
Ciudad Hidalgo, Chiapas",,Chiapas,"Puente Internacional Rodolfo Robles
Ciudad Hidalgo, Chiapas (Se acondiciona como albergue)","12,800",,"12,628",,TVRH,SI,,,,,SI,SI,SI,SI,,,,,,,,,,,,,,,,,,,,
2019,22/04/2019,Chiapas,"Palenque, Chiapas",,Tabasco,Macuspana (Estadio de Beisbol),300,224,0,,PAM,,SI,,,,SI,,SI,,,,,,,,,,,,,,,,,,,,,
2020,18/01/2020,Chiapas,"El Ceibo, Tenosique Tabasco",,Tabasco,"El Ceibo, Tenosique Tabasco","1,500","1,232",73,,"TVRH
PAM",SI,SI,,,,SI,SI,SI,,,,,,,,,,,,,,,,,,,,,
2020,20/01/2020,Chiapas,"Puente Internacional Rodolfo Robles Ciudad Hidalgo, Chiapas",,,"Puente Internacional Rodolfo Robles
Ciudad Hidalgo, Chiapas",500,484,0,Traslados a Estaciones Migratorias de otras Entidades,PAM,,SI,,,,SI,SI,SI,,,,,,,,,,,,,,,,,,,,,
2020,23/01/2020,Chiapas,"Paso Informal ""La Canastilla"" Río Suchiate",,Chiapas,"Km. 17 Carretera Ciudad Hidalgo, Tapachula, Chiapas","2,000",926,0,Traslados a Estaciones Migratorias de otras Entidades,PAM,,SI,,,,SI,SI,SI,SI,,,,,,,,,,,,,,,,,,,,
2021,28/08/2021,Chiapas,"Ciudad Hidalgo, Chiapas",,Chiapas,"Huixtla, Chiapas",400,,0,Traslados a Estaciones Migratorias de otras Entidades,PAM,,SI,,,,SI,SI,,,SI,SI,SI,,,,,,,,,,,,,,,,,
2021,31/08/2021,Chiapas,"Huixtla, Chiapas",,Chiapas,"Ulapa, Chiapas",600,,0,Traslados a Estaciones Migratorias de otras Entidades,PAM,,SI,,,,SI,SI,,,SI,SI,SI,,,,,,,,,,,,,,,,,
2021,02/09/2021,Chiapas,"Huixtla, Chiapas",,Chiapas,"Pijijiapan, Chiapas",300,,0,Traslados a Estaciones Migratorias de otras Entidades,PAM,,SI,,,,SI,SI,,,SI,SI,SI,,,,,,,,,,,,,,,,,
2021,23/10/2021,Chiapas,"Parque Bicentenario, Tapachula",,Ciudad de México,Ciudad de México,"1,603",213,"2,423","(1,421) Oaxca, (526) Veracruz
(111) Ciudad de México, (476) Otras",TVRH,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,18/11/2021,Chiapas,"Parque Bicentenario, Tapachula",,Chiapas,"Mapastepec, Chiapas","1,250",92,"1,896","Campeche, Colima, Durango, Estado de México, Guanajuato, Guerrero, Hidalgo, Jalisco, Michoacán, Puebla, Querétaro, Zacatecas.",TVRH,SI,,,,,,,,,,,,,,,,,,,,,,,,,,,,
