DIA,ESTADO / O.R.,NACIONALIDAD,Documentos Migratorios,Tarjeta de Residente Permanente,Tarjeta de Residente Temporal,Tarjeta de Residente Temporal Estudiante,Tarjeta de Visitante por razones humanitarias,Tarjeta de Visitante con fines de adopción,Tarjeta de Visitante Regional,Tarjeta de Visitante Trabajador Fronterizo
02/10/2024,AGUASCALIENTES,Brasil, 1 , - , - , 1 , - , - , - , - 
02/10/2024,AGUASCALIENTES,Costa Rica, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Indonesia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón, 4 , 2 , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Armenia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China, 3 , - , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia, 2 , 1 , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América, 6 , 2 , 4 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Guatemala, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití, 10 , 3 , 7 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras, 3 , 2 , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Pakistán, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República Bolivariana de Venezuela, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República de Corea, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Brasil, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá, 7 , - , 7 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,China, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador, 3 , - , 1 , 2 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,España, 1 , - , - , 1 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América, 14 , 5 , 9 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Federación De Rusia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ghana, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Guatemala, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CAMPECHE,Brasil, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,China, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,CAMPECHE,Cuba, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba, 18 , 17 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador, 45 , 31 , - , - , - , - , 14 , - 
02/10/2024,CHIAPAS,Estados Unidos de América, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Guatemala, 390 , 40 , 2 , - , - , - , 326 , 22 
02/10/2024,CHIAPAS,Haití, 3 , 3 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Honduras, 91 , 78 , - , - , - , - , 13 , - 
02/10/2024,CHIAPAS,Polonia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,República Dominicana, 4 , 4 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Argentina, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIHUAHUA,China, 7 , - , 7 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Colombia, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Estados Unidos de América, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Honduras, 1 , - , - , - , 1 , - , - , - 
02/10/2024,CHIHUAHUA,India, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIHUAHUA,Taiwan (Provincia de China), 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Alemania, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Argentina, 11 , 2 , 9 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Australia, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Brasil, 9 , 2 , 7 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Canadá, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Chile, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,China, 29 , 8 , 21 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Colombia, 34 , 6 , 26 , 2 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Costa Rica, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Cuba, 7 , 1 , 6 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Dinamarca, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Ecuador, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Eslovaquia, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,España, 11 , - , 11 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Estados Unidos de América, 30 , - , 30 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Federación De Rusia, 4 , 1 , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Filipinas, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Francia, 22 , 6 , 16 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Guatemala, 6 , 2 , 4 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Haití, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Honduras, 3 , 2 , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,India, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Israel, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Italia, 3 , - , 3 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Japón, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Perú, 6 , 1 , 4 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Bolivariana de Venezuela, 9 , 4 , 5 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Checa, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República de Corea, 2 , - , 1 , 1 , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,República Dominicana, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Singapur, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Suecia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CIUDAD DE MEXICO,Uzbekistán, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,China, 8 , 1 , 7 , - , - , - , - , - 
02/10/2024,COAHUILA,Colombia, 4 , - , 2 , 2 , - , - , - , - 
02/10/2024,COAHUILA,Cuba, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Estados Unidos de América, 4 , - , 4 , - , - , - , - , - 
02/10/2024,COAHUILA,Italia, 1 , 1 , - , - , - , - , - , - 
02/10/2024,COAHUILA,Pakistán, 1 , - , 1 , - , - , - , - , - 
02/10/2024,COAHUILA,República Bolivariana de Venezuela, 3 , 3 , - , - , - , - , - , - 
02/10/2024,COAHUILA,República de Corea, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,COLIMA,Argentina, 1 , - , - , 1 , - , - , - , - 
02/10/2024,DURANGO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,DURANGO,Colombia, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Argentina, 3 , 1 , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Chile, 2 , - , 2 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Colombia, 6 , 1 , 5 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Costa Rica, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Cuba, 6 , 2 , 3 , 1 , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Ecuador, 4 , - , 4 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,El Salvador, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,España, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Estado Plurinacional de Bolivia, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Guatemala, 1 , - , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,Honduras, 1 , 1 , - , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República Bolivariana de Venezuela, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,ESTADO DE MEXICO,República de Corea, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Argentina, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Canadá, 5 , - , 5 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Chile, 1 , - , 1 , - , - , - , - , - 
02/10/2024,GUANAJUATO,China, 2 , - , 2 , - , - , - , - , - 
02/10/2024,GUANAJUATO,Colombia, 1 , - , 1 , - , - , - , - , - 
