DIA,ESTADO / O.R.,NACIONALIDAD,EXTRANJEROS RECIBIDOS DE EE.UU.,ADULTOS,MENORES
02/10/2024,COAHUILA,REPÚBLICA BOLIVARIANA DE VENEZUELA,24,18,6
02/10/2024,TAMAULIPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,2,2,0
02/10/2024,COAHUILA,CUBA,2,2,0
02/10/2024,COAHUILA,NICARAGUA,6,5,1
02/10/2024,SONORA,NICARAGUA,2,2,0
02/10/2024,TAMAULIPAS,NICARAGUA,7,7,0
03/10/2024,BAJA CALIFORNIA,REPÚBLICA BOLIVARIANA DE VENEZUELA,1,1,0
04/10/2024,BAJA CALIFORNIA,REPÚBLICA BOLIVARIANA DE VENEZUELA,3,3,0
04/10/2024,CHIHUAHUA,REPÚBLICA BOLIVARIANA DE VENEZUELA,24,18,6
04/10/2024,BAJA CALIFORNIA,CUBA,1,1,0
04/10/2024,CHIHUAHUA,NICARAGUA,4,2,2
04/10/2024,SONORA,NICARAGUA,1,1,0
05/10/2024,COAHUILA,REPÚBLICA BOLIVARIANA DE VENEZUELA,14,11,3
05/10/2024,COAHUILA,CUBA,5,3,2
05/10/2024,COAHUILA,NICARAGUA,14,13,1
06/10/2024,BAJA CALIFORNIA,CUBA,1,1,0
07/10/2024,BAJA CALIFORNIA,REPÚBLICA BOLIVARIANA DE VENEZUELA,2,2,0
07/10/2024,TAMAULIPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,8,8,0
07/10/2024,COAHUILA,CUBA,14,6,8
07/10/2024,TAMAULIPAS,CUBA,1,1,0
07/10/2024,COAHUILA,NICARAGUA,9,7,2
07/10/2024,TAMAULIPAS,NICARAGUA,2,2,0
09/10/2024,BAJA CALIFORNIA,REPÚBLICA BOLIVARIANA DE VENEZUELA,2,2,0
09/10/2024,TAMAULIPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,2,1,1
09/10/2024,CHIHUAHUA,CUBA,11,7,4
09/10/2024,CHIHUAHUA,NICARAGUA,2,2,0
11/10/2024,SONORA,REPÚBLICA BOLIVARIANA DE VENEZUELA,1,1,0
11/10/2024,TAMAULIPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,1,1,0
11/10/2024,SONORA,NICARAGUA,1,1,0
11/10/2024,TAMAULIPAS,NICARAGUA,1,1,0
14/10/2024,TAMAULIPAS,REPÚBLICA BOLIVARIANA DE VENEZUELA,4,4,0
14/10/2024,TAMAULIPAS,CUBA,3,3,0
14/10/2024,TAMAULIPAS,NICARAGUA,9,9,0
15/10/2024,BAJA CALIFORNIA,REPÚBLICA BOLIVARIANA DE VENEZUELA,1,1,0
15/10/2024,CHIHUAHUA,REPÚBLICA BOLIVARIANA DE VENEZUELA,15,14,1
15/10/2024,CHIHUAHUA,CUBA,1,1,0
15/10/2024,CHIHUAHUA,NICARAGUA,14,14,0
