DIA,ESTADO / O.R.,NACIONALIDAD,INADMITIDOS
01/10/2024,Baja California Sur,China,1
01/10/2024,Ciudad de México,Armenia,12
01/10/2024,Ciudad de México,Chile,1
01/10/2024,Ciudad de México,China,22
01/10/2024,Ciudad de México,Colombia,83
01/10/2024,Ciudad de México,Costa Rica,1
01/10/2024,Ciudad de México,Cuba,2
01/10/2024,Ciudad de México,El Salvador,2
01/10/2024,Ciudad de México,Federación De Rusia,5
01/10/2024,Ciudad de México,Honduras,2
01/10/2024,Ciudad de México,Pakistán,1
01/10/2024,Ciudad de México,República Bolivariana de Venezuela,8
01/10/2024,Ciudad de México,Rumania,2
01/10/2024,Ciudad de México,Turquía,3
01/10/2024,Ciudad de México,Uruguay,2
01/10/2024,Estado de México,Colombia,15
01/10/2024,Estado de México,España,2
01/10/2024,Estado de México,Federación De Rusia,2
01/10/2024,Jalisco,Colombia,1
01/10/2024,Jalisco,Taiwan (Provincia de China),1
01/10/2024,Quintana Roo,Argentina,3
01/10/2024,Quintana Roo,Bélgica,1
01/10/2024,Quintana Roo,Chile,2
01/10/2024,Quintana Roo,China,21
01/10/2024,Quintana Roo,Colombia,78
01/10/2024,Quintana Roo,Costa Rica,1
01/10/2024,Quintana Roo,Cuba,1
01/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,2
01/10/2024,Quintana Roo,Estados Unidos de América,1
01/10/2024,Quintana Roo,Guatemala,1
01/10/2024,Quintana Roo,Haití,1
01/10/2024,Quintana Roo,Jamaica,2
01/10/2024,Quintana Roo,Perú,1
01/10/2024,Quintana Roo,República Bolivariana de Venezuela,2
01/10/2024,Quintana Roo,Turquía,9
02/10/2024,Baja California,Federación De Rusia,1
02/10/2024,Chiapas,Guatemala,2
02/10/2024,Chiapas,Honduras,1
02/10/2024,Ciudad de México,Argentina,2
02/10/2024,Ciudad de México,Brasil,1
02/10/2024,Ciudad de México,Canadá,1
02/10/2024,Ciudad de México,Chile,5
02/10/2024,Ciudad de México,China,18
02/10/2024,Ciudad de México,Colombia,144
02/10/2024,Ciudad de México,Costa Rica,4
02/10/2024,Ciudad de México,Ecuador,2
02/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,3
02/10/2024,Ciudad de México,Federación De Rusia,2
02/10/2024,Ciudad de México,Guatemala,2
02/10/2024,Ciudad de México,India,3
02/10/2024,Ciudad de México,Kazajstan,1
02/10/2024,Ciudad de México,Kirguistán,11
02/10/2024,Ciudad de México,Nicaragua,1
02/10/2024,Ciudad de México,Pakistán,2
02/10/2024,Ciudad de México,Panamá,1
02/10/2024,Ciudad de México,Paraguay,1
02/10/2024,Ciudad de México,Perú,3
02/10/2024,Ciudad de México,Reino Unido de Gran Bretaña e Irlanda del Norte,1
02/10/2024,Ciudad de México,República Bolivariana de Venezuela,3
02/10/2024,Ciudad de México,República Checa,5
02/10/2024,Ciudad de México,Turquía,2
02/10/2024,Ciudad de México,Uruguay,1
02/10/2024,Estado de México,Argentina,1
02/10/2024,Estado de México,Chile,1
02/10/2024,Estado de México,Colombia,17
02/10/2024,Estado de México,Federación De Rusia,1
02/10/2024,Estado de México,Jamaica,2
02/10/2024,Jalisco,China,1
02/10/2024,Jalisco,Estados Unidos de América,1
02/10/2024,Nuevo Leon,China,3
02/10/2024,Nuevo Leon,Colombia,1
02/10/2024,Querétaro,Estados Unidos de América,1
02/10/2024,Quintana Roo,Argelia,1
02/10/2024,Quintana Roo,Argentina,11
02/10/2024,Quintana Roo,Brasil,1
02/10/2024,Quintana Roo,Chile,1
02/10/2024,Quintana Roo,China,5
02/10/2024,Quintana Roo,Colombia,38
02/10/2024,Quintana Roo,Costa Rica,1
02/10/2024,Quintana Roo,España,2
02/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,2
02/10/2024,Quintana Roo,Federación De Rusia,2
02/10/2024,Quintana Roo,Filipinas,1
02/10/2024,Quintana Roo,Haití,1
02/10/2024,Quintana Roo,Jamaica,2
02/10/2024,Quintana Roo,Perú,1
02/10/2024,Quintana Roo,República Islámica del Irán,2
02/10/2024,Quintana Roo,Zimbabwe,2
03/10/2024,Baja California,Estados Unidos de América,2
03/10/2024,Chiapas,Guatemala,1
03/10/2024,Ciudad de México,Argentina,3
03/10/2024,Ciudad de México,China,8
03/10/2024,Ciudad de México,Colombia,136
03/10/2024,Ciudad de México,Cuba,1
03/10/2024,Ciudad de México,El Salvador,3
03/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,8
03/10/2024,Ciudad de México,Estados Unidos de América,1
03/10/2024,Ciudad de México,Federación De Rusia,6
03/10/2024,Ciudad de México,Haití,1
03/10/2024,Ciudad de México,India,1
03/10/2024,Ciudad de México,Jamaica,2
03/10/2024,Ciudad de México,Pakistán,3
03/10/2024,Ciudad de México,Panamá,1
03/10/2024,Ciudad de México,Región Administrativa Especial Hong Kong,1
03/10/2024,Ciudad de México,República Bolivariana de Venezuela,4
03/10/2024,Ciudad de México,República Democrática del Congo,1
03/10/2024,Ciudad de México,Turquía,5
03/10/2024,Coahuila,Estados Unidos de América,1
03/10/2024,Estado de México,Colombia,1
03/10/2024,Estado de México,Haití,1
03/10/2024,Estado de México,Jamaica,1
03/10/2024,Jalisco,Colombia,7
03/10/2024,Jalisco,Nicaragua,1
03/10/2024,Nuevo Leon,Colombia,1
03/10/2024,Nuevo Leon,España,1
03/10/2024,Nuevo Leon,Federación De Rusia,1
03/10/2024,Quintana Roo,Argentina,1
03/10/2024,Quintana Roo,Bulgaria,1
03/10/2024,Quintana Roo,Chile,1
03/10/2024,Quintana Roo,China,1
03/10/2024,Quintana Roo,Colombia,56
03/10/2024,Quintana Roo,Costa Rica,2
03/10/2024,Quintana Roo,Cuba,2
03/10/2024,Quintana Roo,Ecuador,1
03/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,1
03/10/2024,Quintana Roo,Estados Unidos de América,1
03/10/2024,Quintana Roo,Guatemala,3
03/10/2024,Quintana Roo,India,4
03/10/2024,Quintana Roo,Nigeria,2
03/10/2024,Quintana Roo,Portugal,1
03/10/2024,Quintana Roo,República Bolivariana de Venezuela,2
03/10/2024,Quintana Roo,Rumania,2
03/10/2024,Quintana Roo,Suecia,1
03/10/2024,Quintana Roo,Trinidad y Tobago,3
04/10/2024,Baja California,China,2
04/10/2024,Chiapas,Guatemala,1
04/10/2024,Ciudad de México,Armenia,2
04/10/2024,Ciudad de México,Bangladesh,1
04/10/2024,Ciudad de México,Chile,1
04/10/2024,Ciudad de México,China,30
04/10/2024,Ciudad de México,Colombia,83
04/10/2024,Ciudad de México,Costa Rica,3
04/10/2024,Ciudad de México,Cuba,1
04/10/2024,Ciudad de México,Eritrea,1
04/10/2024,Ciudad de México,España,2
04/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,5
04/10/2024,Ciudad de México,Etiopia,1
04/10/2024,Ciudad de México,Federación De Rusia,6
04/10/2024,Ciudad de México,Guatemala,1
04/10/2024,Ciudad de México,Haití,1
04/10/2024,Ciudad de México,India,3
04/10/2024,Ciudad de México,Nicaragua,5
04/10/2024,Ciudad de México,Panamá,2
04/10/2024,Ciudad de México,Región Administrativa Especial Hong Kong,1
04/10/2024,Ciudad de México,República Bolivariana de Venezuela,5
04/10/2024,Ciudad de México,República de Corea,1
04/10/2024,Ciudad de México,Rumania,1
04/10/2024,Ciudad de México,Turquía,5
04/10/2024,Ciudad de México,Vietnam,3
04/10/2024,Estado de México,Armenia,3
04/10/2024,Estado de México,China,1
04/10/2024,Estado de México,Colombia,4
04/10/2024,Estado de México,India,2
04/10/2024,Estado de México,Israel,1
04/10/2024,Guanajuato,Estados Unidos de América,1
04/10/2024,Jalisco,China,2
04/10/2024,Jalisco,Colombia,3
04/10/2024,Michoacán,Estados Unidos de América,1
04/10/2024,Nuevo Leon,Colombia,3
04/10/2024,Nuevo Leon,Estados Unidos de América,1
04/10/2024,Quintana Roo,Argelia,1
04/10/2024,Quintana Roo,Argentina,2
04/10/2024,Quintana Roo,Brasil,1
04/10/2024,Quintana Roo,China,3
04/10/2024,Quintana Roo,Colombia,37
04/10/2024,Quintana Roo,Estado Plurinacional de Bolivia,1
04/10/2024,Quintana Roo,Estados Unidos de América,1
04/10/2024,Quintana Roo,Estonia,2
04/10/2024,Quintana Roo,Honduras,1
04/10/2024,Quintana Roo,India,1
04/10/2024,Quintana Roo,Italia,2
04/10/2024,Quintana Roo,Jamaica,11
04/10/2024,Quintana Roo,Panamá,2
04/10/2024,Quintana Roo,República Bolivariana de Venezuela,2
05/10/2024,Baja California Sur,Estados Unidos de América,1
05/10/2024,Baja California,Estados Unidos de América,1
05/10/2024,Ciudad de México,Argentina,1
05/10/2024,Ciudad de México,Armenia,1
05/10/2024,Ciudad de México,Belarús,2
05/10/2024,Ciudad de México,Brasil,1
05/10/2024,Ciudad de México,China,16
05/10/2024,Ciudad de México,Colombia,55
05/10/2024,Ciudad de México,El Salvador,3
05/10/2024,Ciudad de México,España,1
05/10/2024,Ciudad de México,Estado Plurinacional de Bolivia,6
05/10/2024,Ciudad de México,Estados Unidos de América,2
05/10/2024,Ciudad de México,Federación De Rusia,2
05/10/2024,Ciudad de México,Guatemala,3
05/10/2024,Ciudad de México,India,7
05/10/2024,Ciudad de México,Kazajstan,1
05/10/2024,Ciudad de México,Mongolia,1
05/10/2024,Ciudad de México,Pakistán,1
05/10/2024,Ciudad de México,Panamá,3
05/10/2024,Ciudad de México,Perú,1
05/10/2024,Ciudad de México,República Bolivariana de Venezuela,1
05/10/2024,Ciudad de México,República Islámica del Irán,4
05/10/2024,Ciudad de México,Turquía,1
05/10/2024,Estado de México,Colombia,3
05/10/2024,Estado de México,España,2
05/10/2024,Jalisco,Estados Unidos de América,1
05/10/2024,Jalisco,Honduras,1
05/10/2024,Nuevo Leon,China,1
05/10/2024,Nuevo Leon,Colombia,2
05/10/2024,Nuevo Leon,España,2
05/10/2024,Quintana Roo,Argentina,2
05/10/2024,Quintana Roo,Camerún,1
05/10/2024,Quintana Roo,China,2
05/10/2024,Quintana Roo,Colombia,15
