DIA,ESTADO / O.R.,MEXICANOS REPATRIADOS,ADULTOS,MENORES,NNA NO ACOMPAÑADOS,NNA ACOMPAÑADOS,TERRESTRES,VUELOS PRIM,,,,,,
01/10/2024,BAJA CALIFORNIA,92,78,14,6,8,92,0,,,,,,
01/10/2024,CHIHUAHUA,61,32,29,17,12,61,0,,,,,,
01/10/2024,COAHUILA,22,17,5,5,0,22,0,,,,,,
01/10/2024,SONORA,220,179,41,9,32,220,0,,,,,,
01/10/2024,TAMAULIPAS,123,114,9,7,2,123,0,,,,,,
02/10/2024,BAJA CALIFORNIA,81,69,12,4,8,81,0,,,,,,
02/10/2024,CHIHUAHUA,38,19,19,10,9,38,0,,,,,,
02/10/2024,COAHUILA,15,10,5,2,3,15,0,,,,,,
02/10/2024,SONORA,290,234,56,11,45,290,0,,,,,,
02/10/2024,TAMAULIPAS,129,105,24,21,3,129,0,,,,,,
03/10/2024,BAJA CALIFORNIA,69,56,13,3,10,69,0,,,,,,
03/10/2024,CHIHUAHUA,40,19,21,15,6,40,0,,,,,,
03/10/2024,COAHUILA,50,48,2,2,0,50,0,,,,,,
03/10/2024,ESTADO DE MEXICO,505,465,40,0,40,0,505,,,,,,
03/10/2024,SONORA,227,187,40,8,32,227,0,,,,,,
03/10/2024,TAMAULIPAS,78,67,11,8,3,78,0,,,,,,
04/10/2024,BAJA CALIFORNIA,116,86,30,9,21,116,0,,,,,,
04/10/2024,CHIHUAHUA,44,16,28,15,13,44,0,,,,,,
04/10/2024,COAHUILA,35,33,2,2,0,35,0,,,,,,
04/10/2024,ESTADO DE MEXICO,7,7,0,0,0,0,7,,,,,,
04/10/2024,SONORA,268,227,41,10,31,268,0,,,,,,
04/10/2024,TAMAULIPAS,185,169,16,8,8,185,0,,,,,,
05/10/2024,BAJA CALIFORNIA,108,96,12,1,11,108,0,,,,,,
05/10/2024,CHIHUAHUA,19,3,16,9,7,19,0,,,,,,
05/10/2024,COAHUILA,7,4,3,3,0,7,0,,,,,,
05/10/2024,SONORA,212,175,37,7,30,212,0,,,,,,
05/10/2024,TAMAULIPAS,117,108,9,8,1,117,0,,,,,,
06/10/2024,BAJA CALIFORNIA,42,30,12,4,8,42,0,,,,,,
06/10/2024,CHIHUAHUA,19,2,17,16,1,19,0,,,,,,
06/10/2024,COAHUILA,10,5,5,3,2,10,0,,,,,,
06/10/2024,SONORA,153,121,32,3,29,153,0,,,,,,
06/10/2024,TAMAULIPAS,34,25,9,8,1,34,0,,,,,,
07/10/2024,BAJA CALIFORNIA,105,83,22,4,18,105,0,,,,,,
07/10/2024,CHIHUAHUA,38,25,13,7,6,38,0,,,,,,
07/10/2024,COAHUILA,26,23,3,1,2,26,0,,,,,,
07/10/2024,SONORA,160,122,38,5,33,160,0,,,,,,
07/10/2024,TAMAULIPAS,288,275,13,7,6,288,0,,,,,,
08/10/2024,BAJA CALIFORNIA,125,113,12,4,8,125,0,,,,,,
08/10/2024,CHIHUAHUA,44,29,15,9,6,44,0,,,,,,
08/10/2024,COAHUILA,61,57,4,1,3,61,0,,,,,,
08/10/2024,ESTADO DE MEXICO,500,494,6,0,6,0,500,,,,,,
08/10/2024,SONORA,245,218,27,4,23,245,0,,,,,,
08/10/2024,TAMAULIPAS,192,171,21,10,11,192,0,,,,,,
09/10/2024,BAJA CALIFORNIA,91,80,11,6,5,91,0,,,,,,
09/10/2024,CHIHUAHUA,52,21,31,19,12,52,0,,,,,,
09/10/2024,COAHUILA,23,20,3,2,1,23,0,,,,,,
09/10/2024,SONORA,233,193,40,6,34,233,0,,,,,,
09/10/2024,TAMAULIPAS,96,91,5,5,0,96,0,,,,,,
10/10/2024,BAJA CALIFORNIA,67,54,13,1,12,67,0,,,,,,
10/10/2024,CHIHUAHUA,26,10,16,10,6,26,0,,,,,,
10/10/2024,COAHUILA,25,25,0,0,0,25,0,,,,,,
10/10/2024,SONORA,197,170,27,6,21,197,0,,,,,,
10/10/2024,TAMAULIPAS,103,89,14,13,1,103,0,,,,,,
11/10/2024,BAJA CALIFORNIA,122,96,26,2,24,122,0,,,,,,
11/10/2024,CHIHUAHUA,37,8,29,20,9,37,0,,,,,,
11/10/2024,COAHUILA,80,78,2,2,0,80,0,,,,,,
11/10/2024,SONORA,206,184,22,3,19,206,0,,,,,,
11/10/2024,TAMAULIPAS,203,188,15,13,2,203,0,,,,,,
12/10/2024,BAJA CALIFORNIA,62,47,15,5,10,62,0,,,,,,
12/10/2024,CHIHUAHUA,24,7,17,15,2,24,0,,,,,,
12/10/2024,COAHUILA,62,61,1,1,0,62,0,,,,,,
12/10/2024,SONORA,303,272,31,5,26,303,0,,,,,,
12/10/2024,TAMAULIPAS,54,44,10,8,2,54,0,,,,,,
13/10/2024,BAJA CALIFORNIA,76,52,24,7,17,76,0,,,,,,
13/10/2024,CHIHUAHUA,31,10,21,16,5,31,0,,,,,,
13/10/2024,COAHUILA,4,0,4,4,0,4,0,,,,,,
13/10/2024,SONORA,194,150,44,2,42,194,0,,,,,,
13/10/2024,TAMAULIPAS,64,53,11,9,2,64,0,,,,,,
14/10/2024,BAJA CALIFORNIA,41,31,10,2,8,41,0,,,,,,
14/10/2024,CHIHUAHUA,23,9,14,12,2,23,0,,,,,,
14/10/2024,COAHUILA,62,57,5,4,1,62,0,,,,,,
14/10/2024,SONORA,135,116,19,1,18,135,0,,,,,,
14/10/2024,TAMAULIPAS,174,164,10,5,5,174,0,,,,,,
15/10/2024,BAJA CALIFORNIA,95,84,11,4,7,95,0,,,,,,
15/10/2024,CHIHUAHUA,74,44,30,15,15,74,0,,,,,,
15/10/2024,COAHUILA,52,48,4,3,1,52,0,,,,,,
15/10/2024,ESTADO DE MEXICO,491,486,5,0,5,0,491,,,,,,
15/10/2024,SONORA,191,153,38,3,35,191,0,,,,,,
15/10/2024,TAMAULIPAS,86,80,6,6,0,86,0,,,,,,
16/10/2024,BAJA CALIFORNIA,102,70,32,6,26,102,0,,,,,,
16/10/2024,CHIHUAHUA,49,29,20,10,10,49,0,,,,,,
16/10/2024,COAHUILA,56,47,9,8,1,56,0,,,,,,
16/10/2024,SONORA,242,203,39,8,31,242,0,,,,,,
16/10/2024,TAMAULIPAS,163,143,20,12,8,163,0,,,,,,
17/10/2024,BAJA CALIFORNIA,68,58,10,5,5,68,0,,,,,,
17/10/2024,CHIHUAHUA,55,40,15,9,6,55,0,,,,,,
17/10/2024,COAHUILA,57,48,9,2,7,57,0,,,,,,
17/10/2024,SONORA,285,242,43,5,38,285,0,,,,,,
17/10/2024,TAMAULIPAS,100,81,19,14,5,100,0,,,,,,
18/10/2024,BAJA CALIFORNIA,94,77,17,3,14,94,0,,,,,,
18/10/2024,CHIHUAHUA,59,50,9,7,2,59,0,,,,,,
18/10/2024,COAHUILA,56,54,2,0,2,56,0,,,,,,
18/10/2024,SONORA,270,215,55,8,47,270,0,,,,,,
18/10/2024,TAMAULIPAS,217,194,23,19,4,217,0,,,,,,
19/10/2024,BAJA CALIFORNIA,54,38,16,2,14,54,0,,,,,,
19/10/2024,CHIHUAHUA,57,41,16,14,2,57,0,,,,,,
19/10/2024,COAHUILA,69,68,1,1,0,69,0,,,,,,
19/10/2024,SONORA,275,238,37,10,27,275,0,,,,,,
19/10/2024,TAMAULIPAS,63,54,9,6,3,63,0,,,,,,
20/10/2024,BAJA CALIFORNIA,90,62,28,2,26,90,0,,,,,,
20/10/2024,CHIHUAHUA,65,49,16,14,2,65,0,,,,,,
