DIA,ESTADO / O.R.,NACIONALIDAD,Motivo de Estancia,Documentos Migratorios,Tarjeta de Residente Permanente,Tarjeta de Residente Temporal,Tarjeta de Residente Temporal Estudiante,Tarjeta de Visitante por razones humanitarias,Tarjeta de Visitante con fines de adopción,Tarjeta de Visitante Regional,Tarjeta de Visitante Trabajador Fronterizo
02/10/2024,AGUASCALIENTES,Brasil,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,AGUASCALIENTES,Costa Rica,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Cuba,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Estados Unidos de América,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Indonesia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,AGUASCALIENTES,Japón,Unidad Familiar, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Armenia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,China,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia,Razones Humanitarias, 1 , - , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Colombia,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Cuba,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,El Salvador,Unidad Familiar, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Por Tiempo, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Reposición, 2 , 1 , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Estados Unidos de América,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Guatemala,Razones Humanitarias, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Canje, 8 , 3 , 5 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Haití,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Razones Humanitarias, 1 , - , - , - , 1 , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Honduras,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,Pakistán,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República Bolivariana de Venezuela,Reposición, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA,República de Corea,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Argentina,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Brasil,Renovación, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Canje, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Equiparado, 3 , - , 3 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Canadá,Reposición, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,China,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Cuba,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador,Estudio, 2 , - , - , 2 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ecuador,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,España,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Canje, 1 , 1 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Equiparado, 2 , - , 2 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Por Tiempo, 2 , 2 , - , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Renovación, 8 , 2 , 6 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Estados Unidos de América,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Federación De Rusia,Empleo, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Francia,Unidad Familiar, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Ghana,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,BAJA CALIFORNIA SUR,Guatemala,Estudio, 1 , - , - , 1 , - , - , - , - 
02/10/2024,CAMPECHE,Brasil,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,China,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Canje, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Renovación, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CAMPECHE,Colombia,Unidad Familiar, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CAMPECHE,Cuba,Equiparado, 1 , - , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,Colombia,Renovación, 2 , - , 2 , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba,Razones Humanitarias, 15 , 15 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,Cuba,Unidad Familiar, 3 , 2 , 1 , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Razones Humanitarias, 16 , 16 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Reposición, 1 , 1 , - , - , - , - , - , - 
02/10/2024,CHIAPAS,El Salvador,Turismo, 14 , - , - , - , - , - , 14 , - 
