DIA,O.R.,NACIONALIDAD,ESTACIÓN O ESTANCIA MIGRATORIA,PRESENTADOS
01/10/2024,Campeche,Brasil,Estación Migratoria Escárcega,3
01/10/2024,Campeche,El Salvador,Estación Migratoria Escárcega,1
01/10/2024,Campeche,Honduras,Estación Migratoria Escárcega,2
01/10/2024,Campeche,Vietnam,Estación Migratoria Escárcega,4
01/10/2024,Chiapas,Burkina Faso,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,China,Estación Migratoria Tapachula,1
01/10/2024,Chiapas,Colombia,Estación Migratoria Palenque,2
01/10/2024,Chiapas,Colombia,Estación Migratoria Tapachula,5
01/10/2024,Chiapas,Congo,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Cuba,Estación Migratoria Tapachula,3
01/10/2024,Chiapas,Ecuador,Estación Migratoria Tapachula,7
01/10/2024,Chiapas,Ecuador,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Egipto,Estación Migratoria Palenque,1
01/10/2024,Chiapas,Egipto,Estación Migratoria Tuxtla Gutiérrez,6
01/10/2024,Chiapas,El Salvador,Estación Migratoria Tapachula,11
01/10/2024,Chiapas,Eritrea,Estación Migratoria Tapachula,4
01/10/2024,Chiapas,Etiopia,Estación Migratoria Tapachula,1
01/10/2024,Chiapas,Etiopia,Estación Migratoria Tuxtla Gutiérrez,5
01/10/2024,Chiapas,Guatemala,Estación Migratoria Palenque,2
01/10/2024,Chiapas,Guatemala,Estación Migratoria Tapachula,12
01/10/2024,Chiapas,Guatemala,Estación Migratoria Tuxtla Gutiérrez,2
01/10/2024,Chiapas,Haití,Estación Migratoria Tapachula,2
01/10/2024,Chiapas,Haití,Estación Migratoria Tuxtla Gutiérrez,11
01/10/2024,Chiapas,Honduras,Estación Migratoria Palenque,8
01/10/2024,Chiapas,Honduras,Estación Migratoria Tapachula,21
01/10/2024,Chiapas,Marruecos,Estación Migratoria Tapachula,2
01/10/2024,Chiapas,Mauritania,Estación Migratoria Tuxtla Gutiérrez,3
01/10/2024,Chiapas,Nicaragua,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,Perú,Estación Migratoria Tapachula,9
01/10/2024,Chiapas,Región Administrativa Especial De Macao,Estación Migratoria Tuxtla Gutiérrez,1
01/10/2024,Chiapas,República Bolivariana de Venezuela,Estación Migratoria Tapachula,92
