DIA,ESTADO / O.R.,NACIONALIDAD,EXTRANJEROS RESCATADOS POR EL INM,PRIMERA VEZ,REINCIDENCIA,PRESENTADOS EN EM,CANALIZADOS AL DIF,CONDUCCIÓN DE NORTE A SUR
01/10/2024,BAJA CALIFORNIA,ARMENIA,5,5,0,1,4,
01/10/2024,BAJA CALIFORNIA,BRASIL,3,3,0,0,3,
01/10/2024,BAJA CALIFORNIA,BURKINA FASO,1,1,0,1,0,
01/10/2024,BAJA CALIFORNIA,CHINA,6,6,0,6,0,
01/10/2024,BAJA CALIFORNIA,COLOMBIA,9,9,0,2,7,
01/10/2024,BAJA CALIFORNIA,ECUADOR,3,3,0,0,3,
01/10/2024,BAJA CALIFORNIA,EGIPTO,5,5,0,5,0,
01/10/2024,BAJA CALIFORNIA,EL SALVADOR,7,7,0,0,7,
01/10/2024,BAJA CALIFORNIA,ETIOPIA,3,3,0,3,0,
01/10/2024,BAJA CALIFORNIA,FEDERACION DE RUSIA,4,4,0,0,4,
01/10/2024,BAJA CALIFORNIA,GUATEMALA,7,7,0,2,5,
01/10/2024,BAJA CALIFORNIA,HONDURAS,1,1,0,1,0,
01/10/2024,BAJA CALIFORNIA,INDIA,2,2,0,0,2,
01/10/2024,BAJA CALIFORNIA,JORDANIA,4,4,0,4,0,
01/10/2024,BAJA CALIFORNIA,PERU,1,1,0,1,0,
01/10/2024,BAJA CALIFORNIA,REPUBLICA ARABE DE SIRIA,1,1,0,1,0,
01/10/2024,BAJA CALIFORNIA,REPUBLICA DOMINICANA,1,1,0,1,0,
01/10/2024,BAJA CALIFORNIA,TURQUIA,4,4,0,0,4,
01/10/2024,BAJA CALIFORNIA,VIETNAM,5,5,0,5,0,
01/10/2024,BAJA CALIFORNIA SUR,CHINA,1,1,0,1,0,
01/10/2024,CAMPECHE,EL SALVADOR,1,1,0,1,0,
01/10/2024,CAMPECHE,HONDURAS,2,2,0,2,0,
01/10/2024,CHIAPAS,AFGANISTAN,5,5,5,0,5,
01/10/2024,CHIAPAS,ANGOLA,3,3,3,0,3,
01/10/2024,CHIAPAS,ARGENTINA,2,2,2,0,2,
01/10/2024,CHIAPAS,BANGLADESH,3,3,3,3,0,
01/10/2024,CHIAPAS,ESTADO PLURINACIONAL DE BOLIVIA,2,2,2,1,1,
01/10/2024,CHIAPAS,BRASIL,17,17,17,11,6,
01/10/2024,CHIAPAS,CAMERUN,5,5,5,5,0,
01/10/2024,CHIAPAS,CHILE,3,3,3,0,3,
01/10/2024,CHIAPAS,CHINA,6,6,0,2,4,
01/10/2024,CHIAPAS,COLOMBIA,111,111,101,49,62,
01/10/2024,CHIAPAS,CONGO,6,6,6,4,2,
01/10/2024,CHIAPAS,CÔTE D'IVOIRE,3,3,3,3,0,
01/10/2024,CHIAPAS,CUBA,26,26,22,14,12,
01/10/2024,CHIAPAS,DOMINICA,5,5,5,5,0,
01/10/2024,CHIAPAS,ECUADOR,145,145,111,89,56,
01/10/2024,CHIAPAS,EGIPTO,12,12,6,8,4,
01/10/2024,CHIAPAS,EL SALVADOR,46,46,34,37,9,
01/10/2024,CHIAPAS,ERITREA,12,12,8,12,0,
01/10/2024,CHIAPAS,ETIOPIA,1,1,0,1,0,
01/10/2024,CHIAPAS,GEORGIA,4,4,4,0,4,
01/10/2024,CHIAPAS,GHANA,14,14,14,10,4,
01/10/2024,CHIAPAS,GUATEMALA,225,225,204,166,59,
01/10/2024,CHIAPAS,GUINEA,11,11,11,11,0,
01/10/2024,CHIAPAS,GUINEA ECUATORIAL,3,3,3,1,2,
01/10/2024,CHIAPAS,HAITI,248,248,237,237,11,
01/10/2024,CHIAPAS,HONDURAS,400,400,376,346,54,
01/10/2024,CHIAPAS,INDIA,1,1,1,1,0,
01/10/2024,CHIAPAS,REPUBLICA ISLAMICA DEL IRAN,5,5,3,5,0,
01/10/2024,CHIAPAS,KAZAJSTAN,1,1,1,1,0,
01/10/2024,CHIAPAS,MALI,1,1,1,1,0,
01/10/2024,CHIAPAS,MARRUECOS,3,3,1,3,0,
01/10/2024,CHIAPAS,MAURITANIA,1,1,1,1,0,
01/10/2024,CHIAPAS,NICARAGUA,42,42,31,38,4,
01/10/2024,CHIAPAS,NIGERIA,1,1,0,1,0,
01/10/2024,CHIAPAS,PANAMA,6,6,1,1,5,
01/10/2024,CHIAPAS,PERU,60,60,42,39,21,
01/10/2024,CHIAPAS,REPUBLICA DOMINICANA,11,11,11,9,2,
01/10/2024,CHIAPAS,REPUBLICA POPULAR DEMOCRATICA DE COREA,1,1,1,1,0,
01/10/2024,CHIAPAS,REPUBLICA UNIDA DE TANZANIA,4,4,0,4,0,
