DIA,ESTADO / O.R.,NACIONALIDAD,RETORNADOS A SU PAÍS,DEPORTADOS,RETORNOS ASISTIDOS
01/10/2024,Baja California,Estados Unidos de América,1,1,0
01/10/2024,Chiapas,Guatemala,26,0,26
02/10/2024,Baja California,Estados Unidos de América,1,1,0
02/10/2024,Chiapas,El Salvador,2,0,2
02/10/2024,Sonora,Estados Unidos de América,1,0,1
02/10/2024,Tamaulipas,Ecuador,1,0,1
02/10/2024,Tamaulipas,Honduras,1,0,1
02/10/2024,Veracruz,Guatemala,5,0,5
03/10/2024,Chiapas,Camerún,1,0,1
03/10/2024,Chiapas,El Salvador,1,0,1
03/10/2024,Chiapas,Guatemala,35,0,35
03/10/2024,Ciudad de México,Colombia,2,0,2
03/10/2024,Veracruz,Guatemala,18,0,18
04/10/2024,Chiapas,Guatemala,25,0,25
04/10/2024,Ciudad de México,Colombia,1,0,1
04/10/2024,Tabasco,El Salvador,1,1,0
04/10/2024,Tabasco,Guatemala,30,0,30
05/10/2024,Chiapas,Estado Plurinacional de Bolivia,1,0,1
05/10/2024,Chiapas,Guatemala,9,0,9
05/10/2024,Ciudad de México,Ecuador,1,0,1
05/10/2024,Ciudad de México,Estados Unidos de América,1,1,0
05/10/2024,Tamaulipas,Colombia,1,0,1
05/10/2024,Tamaulipas,Guatemala,2,0,2
06/10/2024,Veracruz,Ecuador,1,0,1
06/10/2024,Veracruz,Honduras,14,1,13
07/10/2024,Baja California,Estados Unidos de América,1,1,0
08/10/2024,Chiapas,Guatemala,18,0,18
08/10/2024,Chiapas,Honduras,23,0,23
08/10/2024,Ciudad de México,Colombia,1,1,0
08/10/2024,Veracruz,Colombia,1,0,1
09/10/2024,Chiapas,Guatemala,22,0,22
09/10/2024,Chiapas,Honduras,1,0,1
10/10/2024,Chiapas,Colombia,2,0,2
10/10/2024,Chiapas,Honduras,29,0,29
10/10/2024,Ciudad de México,Colombia,1,0,1
10/10/2024,Ciudad de México,República Bolivariana de Venezuela,2,0,2
11/10/2024,Chiapas,Guatemala,40,0,40
11/10/2024,Veracruz,Honduras,11,0,11
12/10/2024,Chiapas,Guatemala,13,0,13
12/10/2024,Ciudad de México,República Bolivariana de Venezuela,1,0,1
12/10/2024,Oaxaca,Colombia,2,2,0
14/10/2024,Chiapas,Estado Plurinacional de Bolivia,1,0,1
15/10/2024,Chiapas,Guatemala,15,0,15
15/10/2024,Ciudad de México,Guatemala,58,0,58
15/10/2024,Tabasco,Estado Plurinacional de Bolivia,1,1,0
15/10/2024,Tabasco,Guatemala,1,1,0
15/10/2024,Tabasco,Honduras,25,0,25
16/10/2024,Chiapas,Guatemala,7,0,7
17/10/2024,Chiapas,Guatemala,1,0,1
17/10/2024,Chiapas,Haití,1,0,1
17/10/2024,Chiapas,Honduras,18,0,18
17/10/2024,Ciudad de México,Colombia,3,0,3
17/10/2024,Ciudad de México,Honduras,4,2,2
17/10/2024,Nuevo León,Estados Unidos de América,1,1,0
17/10/2024,Veracruz,Honduras,10,0,10
18/10/2024,Chiapas,Guatemala,21,0,21
18/10/2024,Ciudad de México,Nicaragua,1,0,1
19/10/2024,Chiapas,Guatemala,12,0,12
19/10/2024,Ciudad de México,Brasil,1,1,0
19/10/2024,Ciudad de México,Colombia,1,1,0
19/10/2024,Ciudad de México,Guatemala,1,1,0
21/10/2024,Chiapas,Guatemala,1,0,1
21/10/2024,Tabasco,Honduras,18,0,18
22/10/2024,Aguascalientes,Estados Unidos de América,1,1,0
22/10/2024,Chiapas,Guatemala,3,0,3
22/10/2024,Chihuahua,El Salvador,2,0,2
22/10/2024,Chihuahua,Guatemala,19,0,19
22/10/2024,Ciudad de México,Colombia,1,0,1
22/10/2024,Tabasco,Guatemala,9,1,8
22/10/2024,Tabasco,Honduras,1,0,1
22/10/2024,Tamaulipas,Estados Unidos de América,1,1,0
23/10/2024,Ciudad de México,Colombia,1,0,1
23/10/2024,Ciudad de México,Suecia,1,0,1
23/10/2024,Veracruz,El Salvador,1,0,1
24/10/2024,Chiapas,Honduras,54,0,54
24/10/2024,Chihuahua,Guatemala,2,0,2
24/10/2024,Chihuahua,Honduras,2,0,2
24/10/2024,Ciudad de México,Guatemala,1,0,1
24/10/2024,Ciudad de México,Honduras,1,0,1
25/10/2024,Chiapas,Alemania,1,1,0
25/10/2024,Chiapas,Guatemala,35,0,35
25/10/2024,Ciudad de México,Guatemala,2,0,2
25/10/2024,Nuevo León,Colombia,4,0,4
25/10/2024,Nuevo León,El Salvador,1,0,1
25/10/2024,Nuevo León,Honduras,1,0,1
25/10/2024,Oaxaca,Colombia,2,0,2
25/10/2024,Tabasco,Guatemala,44,1,43
25/10/2024,Tabasco,Honduras,37,0,37
26/10/2024,Chiapas,Guatemala,5,0,5
26/10/2024,Ciudad de México,Honduras,1,1,0
28/10/2024,Baja California,Estados Unidos de América,1,1,0
29/10/2024,Chiapas,Guatemala,20,0,20
29/10/2024,Ciudad de México,Colombia,1,0,1
29/10/2024,Ciudad de México,El Salvador,1,0,1
29/10/2024,Ciudad de México,Guatemala,2,0,2
29/10/2024,Ciudad de México,Guinea Ecuatorial,1,1,0
29/10/2024,Ciudad de México,Haití,1,1,0
29/10/2024,Ciudad de México,Perú,1,0,1
29/10/2024,Ciudad de México,Turquía,3,3,0
29/10/2024,Tabasco,Guatemala,1,0,1
29/10/2024,Veracruz,Guatemala,22,0,22
30/10/2024,Chiapas,Honduras,20,0,20
30/10/2024,Ciudad de México,Ecuador,1,0,1
30/10/2024,Ciudad de México,República Bolivariana de Venezuela,1,0,1
30/10/2024,Tabasco,El Salvador,2,0,2
30/10/2024,Tabasco,Guatemala,2,0,2
30/10/2024,Veracruz,Guatemala,17,1,16
31/10/2024,Chiapas,Guatemala,30,0,30
31/10/2024,Chiapas,Honduras,33,0,33
31/10/2024,Ciudad de México,Honduras,1,0,1
31/10/2024,Ciudad de México,República Bolivariana de Venezuela,1,0,1
31/10/2024,Tabasco,Honduras,33,0,33
31/10/2024,Veracruz,El Salvador,1,0,1
31/10/2024,Veracruz,Estados Unidos de América,1,0,1
01/11/2024,Baja California Sur,Estados Unidos de América,1,1,0
01/11/2024,Chiapas,Colombia,2,0,2
01/11/2024,Ciudad de México,Estados Unidos de América,1,0,1
01/11/2024,Quintana Roo,Guatemala,1,0,1
01/11/2024,Veracruz,Nicaragua,2,0,2
03/11/2024,Ciudad de México,Colombia,1,0,1
03/11/2024,Oaxaca,Nicaragua,1,1,0
05/11/2024,Chiapas,Guatemala,6,1,5
05/11/2024,Tamaulipas,Guatemala,3,0,3
05/11/2024,Veracruz,Costa Rica,1,0,1
05/11/2024,Veracruz,El Salvador,1,0,1
05/11/2024,Veracruz,Guatemala,17,0,17
05/11/2024,Veracruz,Honduras,13,0,13
06/11/2024,Baja California,Estados Unidos de América,1,1,0
06/11/2024,Chiapas,Guatemala,8,0,8
06/11/2024,Ciudad de México,Guatemala,1,0,1
06/11/2024,Tabasco,Guatemala,7,0,7
07/11/2024,Chiapas,Guatemala,26,0,26
07/11/2024,Chiapas,Honduras,38,0,38
07/11/2024,Ciudad de México,Colombia,10,7,3
07/11/2024,Ciudad de México,Guatemala,7,6,1
07/11/2024,Tabasco,Honduras,36,0,36
08/11/2024,Chiapas,El Salvador,1,0,1
08/11/2024,Chiapas,Guatemala,30,0,30
08/11/2024,Quintana Roo,El Salvador,1,0,1
08/11/2024,Veracruz,Guatemala,11,0,11
08/11/2024,Veracruz,Madagascar,1,0,1
09/11/2024,Chiapas,Guatemala,10,0,10
09/11/2024,Ciudad de México,Ecuador,3,0,3
09/11/2024,Ciudad de México,El Salvador,2,0,2
09/11/2024,Ciudad de México,Honduras,1,0,1
10/11/2024,Chiapas,Honduras,28,1,27
11/11/2024,Chiapas,Guatemala,17,0,17
11/11/2024,Ciudad de México,Nicaragua,1,0,1
11/11/2024,Tabasco,Colombia,1,0,1
11/11/2024,Tamaulipas,Perú,1,1,0
11/11/2024,Veracruz,Honduras,4,0,4
12/11/2024,Chiapas,Guatemala,6,0,6
12/11/2024,Chiapas,Honduras,42,0,42
12/11/2024,Tabasco,Guatemala,12,0,12
13/11/2024,Chiapas,Guatemala,22,0,22
13/11/2024,Ciudad de México,Estados Unidos de América,1,0,1
13/11/2024,Ciudad de México,Nicaragua,1,0,1
13/11/2024,Tabasco,Guatemala,7,0,7
13/11/2024,Veracruz,Nicaragua,1,0,1
14/11/2024,Chiapas,Honduras,57,0,57
14/11/2024,Ciudad de México,Colombia,1,0,1
14/11/2024,Ciudad de México,República Bolivariana de Venezuela,2,0,2
14/11/2024,Sonora,Estados Unidos de América,1,1,0
14/11/2024,Tabasco,Guatemala,77,0,77
14/11/2024,Tabasco,Honduras,12,0,12
14/11/2024,Veracruz,Honduras,9,0,9
15/11/2024,Chiapas,Guatemala,36,0,36
15/11/2024,Tabasco,Guatemala,67,5,62
15/11/2024,Tabasco,Honduras,41,1,40
15/11/2024,Veracruz,El Salvador,3,0,3
16/11/2024,Baja California,Estados Unidos de América,2,2,0
16/11/2024,Ciudad de México,Ecuador,1,0,1
16/11/2024,Ciudad de México,Honduras,2,0,2
17/11/2024,Baja California,Estados Unidos de América,1,1,0
17/11/2024,Chiapas,Colombia,1,0,1
17/11/2024,Oaxaca,Colombia,2,2,0
18/11/2024,Baja California,Estados Unidos de América,1,1,0
18/11/2024,Ciudad de México,República Bolivariana de Venezuela,2,0,2
19/11/2024,Baja California,Estados Unidos de América,1,1,0
19/11/2024,Chiapas,Colombia,2,2,0
19/11/2024,Chiapas,El Salvador,2,0,2
19/11/2024,Chiapas,Guatemala,7,0,7
19/11/2024,Tabasco,Guatemala,24,3,21
19/11/2024,Veracruz,El Salvador,2,0,2
19/11/2024,Veracruz,Guatemala,4,0,4
20/11/2024,Chiapas,Colombia,1,0,1
20/11/2024,Chiapas,Guatemala,24,0,24
20/11/2024,Chiapas,Honduras,34,1,33
20/11/2024,Chiapas,República Bolivariana de Venezuela,1,0,1
20/11/2024,Ciudad de México,Estados Unidos de América,2,0,2
20/11/2024,Tabasco,Honduras,1,0,1
21/11/2024,Chiapas,Honduras,21,0,21
21/11/2024,Ciudad de México,Honduras,2,0,2
21/11/2024,Tabasco,Honduras,30,0,30
21/11/2024,Veracruz,Ecuador,1,0,1
21/11/2024,Veracruz,Honduras,5,0,5
22/11/2024,Chiapas,El Salvador,1,0,1
22/11/2024,Chiapas,Guatemala,12,0,12
22/11/2024,Ciudad de México,Colombia,2,0,2
22/11/2024,Oaxaca,Perú,1,1,0
22/11/2024,Sonora,Argentina,1,0,1
23/11/2024,Chiapas,El Salvador,1,0,1
23/11/2024,Chiapas,Guatemala,1,0,1
24/11/2024,Chiapas,Colombia,1,0,1
25/11/2024,Chiapas,Guatemala,5,0,5
25/11/2024,Chiapas,Honduras,39,0,39
25/11/2024,Ciudad de México,Cuba,1,0,1
25/11/2024,Estado de México,El Salvador,1,0,1
25/11/2024,Estado de México,Guatemala,14,0,14
25/11/2024,Estado de México,República Bolivariana de Venezuela,7,0,7
26/11/2024,Chiapas,Estados Unidos de América,1,1,0
26/11/2024,Chiapas,Guatemala,15,0,15
26/11/2024,Chiapas,Honduras,1,0,1
26/11/2024,Ciudad de México,El Salvador,1,0,1
26/11/2024,Ciudad de México,Guatemala,2,0,2
26/11/2024,Estado de México,Guatemala,2,0,2
26/11/2024,Estado de México,Honduras,2,0,2
26/11/2024,Estado de México,Nicaragua,1,0,1
26/11/2024,Veracruz,Guatemala,38,0,38
27/11/2024,Chiapas,Guatemala,4,0,4
27/11/2024,Chiapas,Honduras,42,0,42
27/11/2024,Ciudad de México,República Bolivariana de Venezuela,1,0,1
27/11/2024,Zacatecas,El Salvador,8,0,8
27/11/2024,Zacatecas,Honduras,1,0,1
28/11/2024,Aguascalientes,Honduras,1,0,1
28/11/2024,Chiapas,El Salvador,1,0,1
28/11/2024,Chiapas,Honduras,25,0,25
28/11/2024,Ciudad de México,Colombia,1,0,1
28/11/2024,Ciudad de México,Cuba,1,0,1
28/11/2024,Ciudad de México,Ecuador,4,0,4
28/11/2024,Ciudad de México,Honduras,3,0,3
28/11/2024,Ciudad de México,Perú,1,0,1
28/11/2024,Veracruz,Honduras,4,0,4
28/11/2024,Veracruz,República Bolivariana de Venezuela,1,0,1
29/11/2024,Chiapas,Guatemala,21,0,21
29/11/2024,Ciudad de México,Estados Unidos de América,1,0,1
29/11/2024,Veracruz,Ecuador,1,0,1
29/11/2024,Veracruz,Guatemala,8,0,8
30/11/2024,Chiapas,Colombia,1,0,1
30/11/2024,Chiapas,Guatemala,14,0,14
02/12/2024,Chiapas,El Salvador,1,0,1
02/12/2024,Chiapas,Guatemala,7,0,7
03/12/2024,Chiapas,Colombia,2,0,2
03/12/2024,Chiapas,Guatemala,18,0,18
03/12/2024,Chiapas,Honduras,40,0,40
03/12/2024,Ciudad de México,Honduras,2,0,2
03/12/2024,Ciudad de México,República Bolivariana de Venezuela,4,0,4
03/12/2024,Tabasco,Colombia,1,1,0
03/12/2024,Tabasco,Guatemala,14,3,11
03/12/2024,Tabasco,Honduras,23,0,23
03/12/2024,Veracruz,Honduras,39,0,39
04/12/2024,Chiapas,Guatemala,5,0,5
04/12/2024,Chiapas,Honduras,7,1,6
04/12/2024,Tabasco,Colombia,4,0,4
04/12/2024,Tabasco,Guatemala,25,3,22
04/12/2024,Tabasco,Honduras,15,0,15
