DIA,Baja California,Sonora,Chihuahua,Coahuila,Nuevo León ,Tamaulipas,TOTAL
16/12/2023,68,143,58,450,0,0,719
17/12/2023,0,132,0,124,0,0,256
18/12/2023,0,144,0,260,0,0,404
19/12/2023,0,117,43,128,0,0,288
20/12/2023,0,207,0,120,52,0,379
21/12/2023,0,133,41,199,0,0,373
22/12/2023,44,214,80,385,53,0,776
23/12/2023,0,0,0,387,145,0,532
24/12/2023,132,161,137,281,126,75,912
25/12/2023,40,0,40,498,124,78,780
26/12/2023,0,72,0,373,229,169,843
27/12/2023,40,86,110,276,132,262,906
28/12/2023,0,0,0,249,275,244,768
29/12/2023,40,124,38,219,168,90,679
30/12/2023,0,0,39,174,117,164,494
31/12/2023,0,101,80,329,334,82,926
01/01/2024,40,0,0,119,0,37,196
02/01/2024,0,92,38,103,0,134,367
03/01/2024,0,96,0,203,341,121,761
04/01/2024,72,0,33,193,171,43,512
05/01/2024,0,128,33,217,110,38,526
06/01/2024,40,75,0,116,341,223,795
07/01/2024,73,151,23,137,132,18,534
08/01/2024,51,94,23,155,80,157,560
09/01/2024,0,67,0,114,257,125,563
10/01/2024,121,64,40,95,131,0,451
11/01/2024,80,145,0,171,120,188,704
12/01/2024,72,148,0,117,121,151,609
13/01/2024,78,247,0,100,264,19,708
14/01/2024,79,209,0,91,264,55,698
15/01/2024,40,160,0,120,131,152,603
16/01/2024,63,190,0,72,264,48,637
17/01/2024,81,165,0,112,263,143,764
18/01/2024,74,233,0,76,244,31,658
19/01/2024,73,36,79,264,0,138,590
20/01/2024,106,153,0,175,264,46,744
21/01/2024,40,111,39,132,132,12,466
22/01/2024,113,128,36,83,266,42,668
23/01/2024,40,100,37,79,249,130,635
24/01/2024,40,153,0,133,194,16,536
25/01/2024,92,38,40,113,136,175,594
26/01/2024,40,268,80,125,264,23,800
27/01/2024,40,185,42,114,102,4,487
28/01/2024,33,91,40,71,101,90,426
29/01/2024,80,28,0,18,116,32,274
30/01/2024,73,113,33,131,233,141,724
31/01/2024,64,140,0,77,132,79,492
01/02/2024,150,26,100,126,242,135,779
02/02/2024,73,73,40,145,236,0,567
03/02/2024,144,105,37,37,132,15,470
04/02/2024,130,62,74,73,100,24,463
05/02/2024,64,139,74,112,130,10,529
06/02/2024,80,71,35,76,97,128,487
07/02/2024,63,149,0,212,124,7,555
08/02/2024,80,0,40,186,264,137,707
09/02/2024,210,0,40,61,136,128,575
10/02/2024,194,103,40,62,212,0,611
11/02/2024,210,327,26,92,94,24,773
12/02/2024,104,253,0,75,267,4,703
13/02/2024,120,200,40,137,0,131,628
14/02/2024,113,170,0,87,199,13,582
15/02/2024,91,36,120,47,0,22,316
16/02/2024,97,0,80,125,80,67,449
17/02/2024,0,62,0,10,0,74,146
18/02/2024,80,0,80,44,0,64,268
19/02/2024,80,78,120,58,120,34,490
20/02/2024,0,156,40,82,0,68,346
21/02/2024,80,120,0,59,155,82,496
22/02/2024,80,69,37,62,0,41,289
23/02/2024,40,92,77,85,0,0,294
24/02/2024,80,37,0,28,69,79,293
25/02/2024,66,87,40,78,0,24,295
26/02/2024,80,195,40,63,0,74,452
27/02/2024,40,37,80,94,120,0,371
28/02/2024,33,79,33,154,120,50,469
29/02/2024,80,38,0,33,80,67,298
01/03/2024,80,92,40,40,0,29,281
02/03/2024,80,72,0,72,80,51,355
03/03/2024,0,190,0,103,0,49,342
04/03/2024,80,73,80,32,80,36,381
05/03/2024,130,35,0,249,0,41,455
06/03/2024,210,99,79,42,79,40,549
07/03/2024,40,37,36,21,80,34,248
08/03/2024,73,75,197,49,0,40,434
09/03/2024,40,76,36,61,80,49,342
10/03/2024,40,43,127,35,0,53,298
11/03/2024,40,0,120,273,99,45,577
12/03/2024,80,64,120,41,80,80,465
13/03/2024,130,36,143,9,85,53,456
14/03/2024,40,23,140,18,0,9,230
15/03/2024,0,204,233,24,40,4,505
16/03/2024,132,73,26,22,0,40,293
17/03/2024,76,0,78,164,0,17,335
18/03/2024,40,73,110,41,40,109,413
19/03/2024,72,36,38,2,80,59,287
20/03/2024,120,56,80,69,55,36,416
21/03/2024,80,0,40,82,80,6,288
22/03/2024,80,57,62,28,0,0,227
23/03/2024,40,35,107,103,0,8,293
24/03/2024,40,0,78,7,92,6,223
25/03/2024,40,37,0,1,119,77,274
26/03/2024,40,0,111,31,61,11,254
27/03/2024,81,48,78,42,0,67,316
28/03/2024,0,0,77,65,0,20,162
29/03/2024,170,0,77,28,0,15,290
30/03/2024,80,28,59,107,165,0,439
31/03/2024,40,19,39,2,0,62,162
01/04/2024,40,0,0,16,79,137,272
02/04/2024,0,26,144,50,0,32,252
03/04/2024,167,0,268,5,0,10,450
04/04/2024,0,20,41,125,0,31,217
05/04/2024,143,21,67,45,0,10,286
06/04/2024,79,89,149,0,128,0,445
07/04/2024,40,0,311,62,0,6,419
08/04/2024,40,27,29,32,0,40,168
09/04/2024,0,0,108,12,198,9,327
10/04/2024,137,17,195,86,0,22,457
11/04/2024,0,0,33,56,174,4,267
12/04/2024,112,0,224,40,0,11,387
13/04/2024,79,15,56,39,138,12,339
14/04/2024,40,0,179,111,0,0,330
15/04/2024,40,19,115,61,0,4,239
16/04/2024,0,0,72,69,229,10,380
17/04/2024,170,16,232,52,0,16,486
18/04/2024,0,37,34,16,146,7,240
19/04/2024,147,68,57,91,0,54,417
20/04/2024,39,20,133,44,170,46,452
21/04/2024,0,0,0,55,0,9,64
22/04/2024,0,0,0,20,0,11,31
